Station ID,Lat,Lng
25704,51.883583,-176.642481
26610,62.5,-164.42
45701,52.83,173.32
25502,56.89948722,-154.2478467
26515,66.551833,-152.622167
25609,55.4,-163.13
26551,67.10620300000001,-157.857172
26551,67.1,-157.85
45711,51.3833,179.2667
45702,51.3833,179.2667
26611,65.449,-165.766
26542,68.133611,-151.743333
26468,61.2167,-149.9
26453,61.2167,-149.8667
26409,61.21354399999999,-149.844725
24224,61.2136111,-149.84444440000001
26491,61.18663817,-149.96539180000002
26451,61.174156,-149.998189
26491,61.18,-149.9719444
93123,61.18,-149.9719444
26401,61.251353,-149.80652800000001
26640,62.05,-163.1667
25310,57.5,-134.58333330000002
26516,61.581596999999995,-159.54304199999999
25308,55.0425,-131.5722222
25301,55.0333,-131.5833
25311,58.3167,-134.1
26644,62.647332999999996,-160.190056
46405,68.11466899999999,-145.579417
25709,51.75,-178.033
26481,68.183,-149.417
25708,52.220583000000005,-174.20619399999998
25710,52.2333,-174.2167
27518,70.46727611,-157.4357361
27518,58.967,-159.05
45709,52.83254167,173.1755542
25312,57.08882583,-134.83314140000002
27502,71.28486099999999,-156.768583
27516,71.3214,-156.6111
27513,71.3167,-156.6
27505,71.35,-156.65
27401,70.113111,-143.653611
27401,70.133,-143.583
27402,70.1167,-143.6333
25313,55.3833,-131.4667
25314,55.92907806,-131.57169059999998
26615,60.77855600000001,-161.837167
26533,66.913944,-151.529056
26119,61.534682999999994,-149.812544
26557,60.817,-152.3
26557,60.817,-152.3
25361,56.85,-135.5333
25361,56.85,-135.5333
26497,61.416089,-149.508306
26460,64.382,-147.7
26416,64.07830278,-141.113375
26645,65.98155600000001,-161.149139
45706,52.4,175.96599999999998
26457,69.983,-144.833
26619,65.906,-161.944
46406,63.391206000000004,-148.955617
26637,69.033,-163.783
25315,56.00211306,-134.1353392
26417,60.23333333,-146.65
26475,60.4833,-146.6
26631,68.87513299999999,-166.111106
25623,58.64815,-162.06296899999998
25362,55.96629,-133.79672109999998
25362,55.967,-133.8
26646,61.78180847,-166.0369654
26633,61.781014,-166.039575
25401,59.8,-144.6
25401,59.8,-144.6
25401,59.8,-144.6
25622,54.58243100000001,-164.914481
25316,58.19906861,-136.6388106
26636,68.1,-165.7667
45713,52.8833,172.5167
26421,61.9667,-149.9
25615,54.4167,-162.4667
25612,54.4167,-162.4667
26418,65.57394444,-144.7808889
26480,67.504517,-148.48322199999998
26482,68.06543944,-149.5797392
25518,56.311464,-158.37323899999998
25518,56.312,-158.372
25511,55.9,-155.5667
25505,55.9167,-155.5833
25601,52.833,-169.833
96401,62.8833,-149.8333
96401,62.883,-149.833
26446,65.827917,-144.076197
26419,65.48547222,-144.6107836
26408,64.300389,-149.11652800000002
26408,64.3,-149.11700000000002
25624,55.20591700000001,-162.72625
26469,67.0667,-149.5833
26467,67.25219399999999,-150.203889
26420,64.8603,-147.8483
26402,60.4833,-145.5
14851,60.491778000000004,-145.477556
25317,55.47883139,-133.14780109999998
26518,61.867,-158.134
26530,62.6167,-150.0333
27406,70.194753,-148.465164
27517,70.344278,-150.94475
26643,66.06911099999999,-162.767056
26643,66.0667,-162.7667
26643,66.0833,-162.75
26415,63.994547,-145.721642
26415,63.99516031,-145.7200247
26406,64.0,-145.7333
26487,63.99516031,-145.7200247
26470,67.6833,-149.7333
25513,59.044667000000004,-158.5055
25515,53.967,-166.85
26422,64.778083,-141.14961100000002
25519,58.185492,-157.375428
25519,58.208,-157.36700000000002
26423,61.45,-149.3333
26424,61.4,-149.15
25318,58.97105861,-135.23738219999998
25357,58.19527779999999,-136.3475
46407,61.9333,-147.1667
46407,65.1758333,-150.22055559999998
26464,64.85,-147.8167
26411,64.815111,-147.856447
26407,64.665642,-147.101439
26494,64.9736,-147.51
26403,64.836517,-147.61686699999998
26498,64.83761528,-147.6144889
26555,62.54245389,-153.62251
26555,62.533,-153.61700000000002
26519,62.506666700000004,-153.89361110000002
26507,61.15,-150.2333
25319,57.26666667,-133.61666670000002
26539,65.92704417,-149.8400781
26472,65.9333,-149.8333
26520,62.45264889,-157.98907
27404,70.167,-146.833
26461,61.2659,-149.653308
26413,66.572417,-145.24633300000002
26471,69.7167,-148.6833
26462,64.8333,-147.6167
25358,58.254360999999996,-134.8978893
26473,68.47966667,-149.48991669999998
26465,68.479667,-149.489917
26501,64.736197,-156.934958
26703,63.766611,-171.732778
26458,63.85,-144.967
26628,64.55045600000001,-163.007172
25320,55.45,-131.8833
26425,62.15494399999999,-145.45433300000002
25321,58.2,-136.15
25322,58.425278000000006,-135.707417
25328,59.4,-135.9
25323,59.24383100000001,-135.523539
26474,69.1667,-148.8167
26466,69.1667,-148.8333
26547,61.9833,-152.0833
26547,61.9833,-152.0833
26447,63.85,-148.9667
26499,63.867582999999996,-148.96883300000002
26499,63.883,-149.017
45704,52.916000000000004,173.166
26521,62.188306000000004,-159.774944
25507,59.644994,-151.48580800000002
14601,59.6455556,-151.47666669999998
25378,58.11215944,-135.451805
25378,58.0962,-135.408756
25378,58.117,-135.45
26651,61.523861,-166.146611
26522,66.03908299999999,-154.264694
26455,69.917,-142.333
26552,65.697861,-156.35138899999998
25376,55.20631611,-132.8283131
27601,70.367,-161.75
25521,59.324042000000006,-155.901772
25506,59.755578,-154.917753
26613,65.583,-163.833
25324,58.3,-134.4
25309,58.354711,-134.57846899999998
25359,56.97299639,-133.94561470000002
25369,56.961364,-133.91026100000002
26652,61.535971999999994,-160.345583
26502,64.31898100000001,-158.741306
26478,69.6833,-146.9
26523,60.573278,-151.244833
26435,60.573055599999996,-151.245
25325,55.354082999999996,-131.711222
